Country,Latest Year,Total Govt Expenditure (% of GDP or bn USD),Social Protection (% of total exp),Health (% of total exp),Education (% of total exp),Defence (% of total exp),Economic Affairs (% of total exp),Immigration Welfare Spending (latest estimate),Spending Details & Source
Romania,2023,~42% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$500 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Russia,2024,~35-40% of GDP (IMF est.),24% (est),9% (est),9% (est),22% (est),15% (est),N/A or negligible,"Focus on labour migration; no separate welfare line found COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Serbia,2023,N/A (national data only),33% (est),14% (est),9% (est),5% (est),14% (est),N/A or negligible,"Data not broken out COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
Slovakia,2023,~45% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$400 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Slovenia,2023,~48% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$100 million/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Spain,2023,~50% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$2 billion/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Sweden,2023,~50% of GDP,39% (EU avg),15% (EU avg),10% (EU avg),1% (EU avg),12% (EU avg),~$2.5 billion/yr (modeled estimate),"Same Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Switzerland,2023,~35% of GDP (OECD),~30-35% range,12-15%,12-14%,1-2%,10-12%,~$3 billion/yr (modeled estimate),"Embedded Immigration welfare figure is a modeled estimate (asylum reception + refugee social support), not an official line item."
Ukraine,2024,N/A (war-time data only),18% (est),6% (est),6% (est),50% (est),8% (est),N/A or negligible,"Humanitarian aid separate from immigration welfare COFOG shares are modeled estimates (IMF GFS-informed), not official published shares."
United Kingdom,2024,~45% of GDP (OECD),~38-40%,~12-14%,~11-13%,~2-3%,~10-12%,£4.7 billion (asylum support) + £2.8 billion (in-donor refugee costs),2023-24 / 2024; Home Office hotels & support. Sources: EIN, UK Parliament briefing
United States of America,2025,$7.01 trillion (federal),~35-40% range (OECD),~12-15%,~12-14%,~3-4%,~8-10%,Not separately tracked as "welfare" (~$145M refugee processing/resettlement),Many immigrants ineligible for federal means-tested benefits; net fiscal impact varies by group. Sources: DHS FY2025 Budget, Manhattan Institute 2025
Australia,2024-25,~45% of GDP (OECD),~35-40% range,12-15%,12-14%,1-2%,10-12%,$17 million (asylum seeker support),2024-25; Services Australia. Detention/offshore separate (enforcement). Source: Refugee Council of Australia
South Africa,2024,~32% of GDP,16% (est),12% (est),19% (est),3% (est),17% (est),~$450 million/yr (modeled estimate),"Consolidated national budget shares approximated from National Treasury Budget Review 2024; COFOG-style shares and immigration welfare figure are modeled estimates, not official line items. https://www.treasury.gov.za/documents/national%20budget/"
